updated_at,tv_show_name,episode_season_number,episode_number,user_id,episode_id,cpt,created_at
2023-10-14 16:17:29,Rick and Morty,3,7,22659137,6241986,2,2019-11-13 19:39:23
2023-10-18 20:25:06,Rick and Morty,3,9,22659137,6241987,2,2019-11-13 19:39:23
2023-10-18 20:24:55,Rick and Morty,3,8,22659137,6288260,2,2019-11-13 19:39:23
2023-10-18 20:50:44,Rick and Morty,3,10,22659137,6288278,2,2019-11-13 19:39:23
2022-06-15 16:41:36,Peaky Blinders,4,2,22659137,6390356,2,2019-01-04 17:18:06
2022-06-15 16:41:36,Peaky Blinders,4,3,22659137,6390357,2,2019-01-04 17:18:06
2022-06-15 16:41:36,Peaky Blinders,4,4,22659137,6390358,2,2019-01-04 17:18:06
2022-06-15 16:41:36,Peaky Blinders,4,5,22659137,6390360,2,2019-01-04 17:18:06
2022-06-15 16:41:36,Peaky Blinders,4,6,22659137,6390361,2,2019-01-04 17:18:06
2022-06-15 16:42:03,Altered Carbon,1,2,22659137,6440563,3,2020-03-30 18:34:05
2022-06-15 16:42:03,Altered Carbon,1,3,22659137,6440564,3,2020-03-30 18:34:07
2022-06-15 16:42:03,Altered Carbon,1,4,22659137,6440565,2,2022-06-15 16:41:57
2022-06-15 16:42:03,Altered Carbon,1,5,22659137,6440566,2,2022-06-15 16:41:57
2022-06-15 16:42:03,Altered Carbon,1,6,22659137,6440567,2,2022-06-15 16:41:57
2022-06-15 16:42:03,Altered Carbon,1,7,22659137,6440568,2,2022-06-15 16:41:57
2022-06-15 16:42:03,Altered Carbon,1,8,22659137,6440569,2,2022-06-15 16:41:57
2022-06-15 16:42:03,Altered Carbon,1,9,22659137,6440570,2,2022-06-15 16:41:57
2022-06-15 16:42:03,Altered Carbon,1,10,22659137,6440571,2,2022-06-15 16:41:57
2022-07-30 22:42:46,Stranger Things,3,1,22659137,6933995,1,2022-07-30 22:42:46
2022-07-30 22:42:46,Stranger Things,3,2,22659137,6933996,1,2022-07-30 22:42:46
2022-07-30 22:42:46,Stranger Things,3,3,22659137,6933997,1,2022-07-30 22:42:46
2022-07-30 22:42:46,Stranger Things,3,4,22659137,6933998,1,2022-07-30 22:42:46
2022-07-30 22:42:46,Stranger Things,3,5,22659137,6934000,1,2022-07-30 22:42:46
2022-07-30 22:42:46,Stranger Things,3,6,22659137,6934001,1,2022-07-30 22:42:46
2022-07-30 22:42:46,Stranger Things,3,7,22659137,6934002,1,2022-07-30 22:42:46
2022-07-30 22:42:46,Stranger Things,3,8,22659137,6934003,1,2022-07-30 22:42:46
2023-10-22 12:25:37,Rick and Morty,4,1,22659137,7186906,1,2023-10-22 12:25:37
2023-10-28 22:44:05,Rick and Morty,4,7,22659137,7229022,1,2023-10-28 22:44:05
2022-06-15 16:41:24,Peaky Blinders,5,1,22659137,7291462,1,2022-06-15 16:41:24
2022-08-21 12:00:28,The Umbrella Academy,2,1,22659137,7308278,2,2022-06-23 13:50:25
2022-08-21 12:00:28,The Umbrella Academy,2,2,22659137,7308279,2,2022-07-03 10:50:38
2022-08-21 12:00:28,The Umbrella Academy,2,3,22659137,7308280,2,2022-07-03 10:50:40
2022-08-21 12:00:28,The Umbrella Academy,2,4,22659137,7308282,2,2022-07-03 10:50:49
2022-08-21 12:00:28,The Umbrella Academy,2,5,22659137,7308283,2,2022-07-03 10:50:46
2022-06-15 16:41:24,Peaky Blinders,5,2,22659137,7314720,1,2022-06-15 16:41:24
2022-06-15 16:41:24,Peaky Blinders,5,3,22659137,7314722,1,2022-06-15 16:41:24
2022-06-15 16:41:24,Peaky Blinders,5,4,22659137,7314723,1,2022-06-15 16:41:24
2022-06-15 16:41:24,Peaky Blinders,5,5,22659137,7314724,1,2022-06-15 16:41:24
2022-06-15 16:41:24,Peaky Blinders,5,6,22659137,7314725,1,2022-06-15 16:41:24
2023-10-22 12:25:39,Rick and Morty,4,2,22659137,7392964,1,2023-10-22 12:25:39
2023-10-22 12:25:42,Rick and Morty,4,3,22659137,7392965,1,2023-10-22 12:25:42
2023-10-22 12:25:48,Rick and Morty,4,4,22659137,7392966,1,2023-10-22 12:25:48
2023-10-22 13:12:31,Rick and Morty,4,5,22659137,7392967,1,2023-10-22 13:12:31
2022-06-22 13:19:21,Altered Carbon,2,1,22659137,7550513,1,2022-06-22 13:19:21
2022-06-22 13:19:21,Altered Carbon,2,2,22659137,7550653,1,2022-06-22 13:19:21
2022-06-22 13:19:21,Altered Carbon,2,3,22659137,7550655,1,2022-06-22 13:19:21
2022-06-22 13:19:21,Altered Carbon,2,4,22659137,7550658,1,2022-06-22 13:19:21
2022-06-22 13:19:21,Altered Carbon,2,5,22659137,7550660,1,2022-06-22 13:19:21
2022-06-22 13:19:21,Altered Carbon,2,6,22659137,7550661,1,2022-06-22 13:19:21
2022-06-22 13:19:21,Altered Carbon,2,7,22659137,7550664,1,2022-06-22 13:19:21
2022-06-22 13:19:21,Altered Carbon,2,8,22659137,7550666,1,2022-06-22 13:19:21
2023-10-28 22:44:04,Rick and Morty,4,6,22659137,7660319,1,2023-10-28 22:44:04
2023-10-28 22:44:13,Rick and Morty,4,8,22659137,7687397,1,2023-10-28 22:44:13
2023-10-28 22:44:16,Rick and Morty,4,9,22659137,7687399,1,2023-10-28 22:44:16
2023-10-28 22:44:19,Rick and Morty,4,10,22659137,7687400,1,2023-10-28 22:44:19
2022-08-21 12:00:28,The Umbrella Academy,2,6,22659137,7693808,2,2022-07-03 10:50:43
2022-08-21 12:00:28,The Umbrella Academy,2,7,22659137,7693810,2,2022-07-03 10:50:50
2022-08-21 12:00:28,The Umbrella Academy,2,9,22659137,7693811,1,2022-08-21 12:00:28
2022-08-21 12:00:28,The Umbrella Academy,2,8,22659137,7693812,2,2022-07-03 10:55:25
2022-08-21 12:00:28,The Umbrella Academy,2,10,22659137,7693814,1,2022-08-21 12:00:28
2023-10-29 14:18:11,Rick and Morty,5,1,22659137,8318242,1,2023-10-29 14:18:11
2023-11-01 21:46:27,Rick and Morty,5,2,22659137,8319997,1,2023-11-01 21:46:27
2023-11-01 21:46:31,Rick and Morty,5,4,22659137,8320003,1,2023-11-01 21:46:31
2023-11-01 21:46:28,Rick and Morty,5,3,22659137,8320005,1,2023-11-01 21:46:28
2023-11-01 22:09:55,Rick and Morty,5,5,22659137,8320006,1,2023-11-01 22:09:55
2023-11-01 22:34:45,Rick and Morty,5,6,22659137,8320007,1,2023-11-01 22:34:45
2023-11-04 22:49:46,Rick and Morty,5,7,22659137,8320008,1,2023-11-04 22:49:46
2023-11-04 22:49:48,Rick and Morty,5,8,22659137,8320009,1,2023-11-04 22:49:48
2023-11-04 22:49:52,Rick and Morty,5,9,22659137,8320010,1,2023-11-04 22:49:52
2023-11-04 23:12:08,Rick and Morty,5,10,22659137,8320011,1,2023-11-04 23:12:08
