posted_on_twitter,unappropriate_count,depth,comment_type,valid,updated_at,nb_likes,lang,parent_comment_id,extended_comment,source,episode_id,comment,posted_on_fb,same_ip_likes,tv_show_name,episode_season_number,episode_number,id,user_id,created_at,spoiler_count,highlight_level,nb_points
0,0,0,comment,0,2023-08-10 17:18:19,1,fr,,,mobile,9079005,I’m starting to get bored but what a plot it would be to see zacarias destroying the trafiquants because they try to black mail him,0,0,The Marked Heart,1,5,33337268,22659137,2023-04-30 17:44:13,0,5,10
0,0,0,comment,0,2023-05-10 19:22:18,0,fr,,,mobile,8987962,Kingsman vibes,0,0,Citadel,1,1,33431516,22659137,2023-05-10 19:22:18,0,5,0
0,0,0,comment,0,2023-06-06 00:29:07,1,fr,,,mobile,9564639,"Explosion, guns and cars : the secret combo for nice episodes",0,0,Black Knight,1,3,33676717,22659137,2023-06-05 20:40:16,0,5,10
0,0,0,comment,0,2023-07-31 22:12:45,1,fr,,,mobile,9564639,"They make à deadly competition to get a dangerous job, and there are almost only teenagers to participate",0,0,Black Knight,1,3,33681004,22659137,2023-06-06 07:07:35,0,5,10
0,0,0,comment,0,2023-07-03 21:15:58,0,en,,null,mobile,9564626,Ohhhh he knows what he’s doing,0,0,Bloodhounds (2023),1,4,33944060,22659137,2023-07-03 21:15:58,0,5,0
0,0,0,comment,0,2023-07-03 21:17:26,0,en,,null,mobile,9564626,Noooooo don’t stoppppp !!!,0,0,Bloodhounds (2023),1,4,33944073,22659137,2023-07-03 21:17:26,0,5,0
0,0,0,comment,0,2023-07-05 21:52:38,0,en,,null,mobile,9564630,My favorite part of the show,0,0,Bloodhounds (2023),1,7,33962635,22659137,2023-07-05 21:52:38,0,5,0
0,0,0,comment,0,2023-07-12 23:04:29,0,en,,null,mobile,9782581,"This documentary is so great because we all know Arnold’s exploits, that he is the best on so many things… but the gold is his mindset ✨
He really have his head on his shoulder I love it",0,0,Arnold,1,1,34024327,22659137,2023-07-12 23:04:29,0,5,0
0,0,0,comment,0,2023-09-24 22:05:17,0,en,,null,mobile,10002429,"« he has been killed too fast » but guys, we’re talking about sully. That’s suprising the guy isn’t dead in the first episode when he pissed of Sully",0,0,Top Boy,5,3,34666001,22659137,2023-09-24 22:05:17,0,5,0
0,0,0,comment,0,2023-11-25 02:07:16,4,en,,null,mobile,10002433,"Damn, Stephan breaking the circle of violence was breathtaking… respect bruv",0,0,Top Boy,5,6,34759499,22659137,2023-10-06 12:18:55,0,5,40
