EPISODE_ID,VOTE_KEY,USER_ID,CREATED,DB_UPDATE_TS,IS_DELETED,order,RATING_ID,set
9303194,9303194-22659137-3,22659137,2023-11-15 14:07:39 +0000 UTC,2023-11-15 14:07:39 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9138256,9138256-22659137-3,22659137,2022-11-15 20:42:55 +0000 UTC,2022-11-15 20:42:55 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9706786,9706786-22659137-3,22659137,2023-04-19 18:32:17 +0000 UTC,2023-04-19 18:32:17 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9079002,9079002-22659137-3,22659137,2023-04-22 12:57:20 +0000 UTC,2023-04-22 12:57:20 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9797409,9797409-22659137-3,22659137,2023-06-19 13:21:50 +0000 UTC,2023-06-19 13:21:50 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9476216,9476216-22659137-28,22659137,2023-02-06 13:30:56 +0000 UTC,2023-02-06 13:30:56 +0000 UTC,0,"1,27,28,29,3",28,stars_wording_scalev2
9765176,9765176-22659137-28,22659137,2023-08-11 11:33:59 +0000 UTC,2023-08-11 11:33:59 +0000 UTC,0,"1,27,28,29,3",28,stars_wording_scalev2
9079005,9079005-22659137-28,22659137,2023-04-30 17:42:16 +0000 UTC,2023-04-30 17:42:16 +0000 UTC,0,"1,27,28,29,3",28,stars_wording_scalev2
9986631,9986631-22659137-3,22659137,2023-12-03 14:05:28 +0000 UTC,2023-12-03 14:05:28 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
8514937,8514937-22659137-27,22659137,2021-11-09 21:45:41 +0000 UTC,,0,"1,27,28,29,3",27,stars_wording_scalev2
9564628,9564628-22659137-3,22659137,2023-07-05 12:35:17 +0000 UTC,2023-07-05 12:35:18 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9160488,9160488-22659137-29,22659137,2022-12-21 23:02:55 +0000 UTC,2022-12-21 23:02:56 +0000 UTC,1,"1,27,28,29,3",29,stars_wording_scalev2
10002428,10002428-22659137-3,22659137,2023-09-09 20:46:34 +0000 UTC,2023-09-09 20:46:34 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9931638,9931638-22659137-3,22659137,2023-09-30 13:38:49 +0000 UTC,2023-09-30 13:38:49 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9577094,9577094-22659137-3,22659137,2023-02-17 23:29:58 +0000 UTC,2023-02-17 23:29:58 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9300512,9300512-22659137-3,22659137,2022-09-10 10:29:59 +0000 UTC,2022-09-10 10:29:59 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9279985,9279985-22659137-29,22659137,2023-09-04 12:31:07 +0000 UTC,2023-09-04 12:31:07 +0000 UTC,0,"1,27,28,29,3",29,stars_wording_scalev2
6576170,6576170-22659137-3,22659137,2022-12-27 13:51:08 +0000 UTC,2022-12-27 13:51:08 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9300511,9300511-22659137-3,22659137,2022-09-10 10:32:15 +0000 UTC,2022-09-10 10:32:15 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9685349,9685349-22659137-3,22659137,2023-04-12 19:56:43 +0000 UTC,2023-04-12 19:57:16 +0000 UTC,1,"1,27,28,29,3",3,stars_wording_scalev2
9303190,9303190-22659137-3,22659137,2023-11-18 13:21:21 +0000 UTC,2023-11-18 13:21:21 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
6778623,6778623-22659137-3,22659137,2022-10-19 21:02:43 +0000 UTC,2022-10-19 21:02:43 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
7620100,7620100-22659137-3,22659137,2022-10-24 13:21:57 +0000 UTC,2022-10-24 13:21:57 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
7110141,7110141-22659137-3,22659137,2022-12-30 13:47:01 +0000 UTC,2022-12-30 13:47:01 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9765174,9765174-22659137-3,22659137,2023-07-27 06:18:19 +0000 UTC,2023-07-27 06:18:19 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9687833,9687833-22659137-29,22659137,2023-04-13 19:52:51 +0000 UTC,2023-04-13 19:52:51 +0000 UTC,0,"1,27,28,29,3",29,stars_wording_scalev2
9685347,9685347-22659137-3,22659137,2023-04-11 20:35:56 +0000 UTC,2023-04-11 20:35:56 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9288822,9288822-22659137-28,22659137,2022-08-22 22:21:16 +0000 UTC,2022-08-22 22:21:16 +0000 UTC,0,"1,27,28,29,3",28,stars_wording_scalev2
7485570,7485570-22659137-3,22659137,2022-09-02 15:36:54 +0000 UTC,2022-09-02 15:38:50 +0000 UTC,1,"1,27,28,29,3",3,stars_wording_scalev2
9247263,9247263-22659137-3,22659137,2022-10-05 20:25:44 +0000 UTC,2022-10-05 20:25:44 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
7327832,7327832-22659137-1,22659137,2020-12-19 23:21:21 +0000 UTC,,0,"1,27,28,29,3",1,stars_wording_scalev2
9685345,9685345-22659137-3,22659137,2023-04-10 17:54:27 +0000 UTC,2023-04-12 19:57:53 +0000 UTC,1,"1,27,28,29,3",3,stars_wording_scalev2
6678938,6678938-22659137-3,22659137,2022-12-08 12:41:38 +0000 UTC,2022-12-08 12:41:38 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9010224,9010224-22659137-3,22659137,2023-03-09 08:51:42 +0000 UTC,2023-03-09 08:51:42 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9505047,9505047-22659137-29,22659137,2023-03-22 22:33:33 +0000 UTC,2023-03-22 22:33:33 +0000 UTC,0,"1,27,28,29,3",29,stars_wording_scalev2
9303185,9303185-22659137-3,22659137,2023-11-05 15:31:28 +0000 UTC,2023-11-05 15:31:28 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9238602,9238602-22659137-29,22659137,2023-01-22 22:34:20 +0000 UTC,2023-01-22 22:34:20 +0000 UTC,0,"1,27,28,29,3",29,stars_wording_scalev2
9435212,9435212-22659137-3,22659137,2023-02-23 23:40:00 +0000 UTC,2023-02-23 23:40:00 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9577093,9577093-22659137-3,22659137,2023-02-16 22:34:34 +0000 UTC,2023-02-16 22:34:34 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
8318242,8318242-22659137-3,22659137,2022-08-25 22:06:03 +0000 UTC,2022-08-25 22:06:03 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
9706788,9706788-22659137-29,22659137,2023-04-19 21:47:29 +0000 UTC,2023-04-19 21:47:31 +0000 UTC,1,"1,27,28,29,3",29,stars_wording_scalev2
6678438,6678438-22659137-3,22659137,2022-12-07 16:18:33 +0000 UTC,2022-12-07 16:18:33 +0000 UTC,0,"1,27,28,29,3",3,stars_wording_scalev2
