notification_type,folder_id,notification_offset,tv_show_name,tv_show_id,created_at,updated_at,active,diffusion,archived,user_id
2,,-60,You,336924,2020-12-19 23:23:46,2022-08-21 12:00:13,1,original,1,22659137
2,,-60,The Rain,341704,2018-08-14 05:41:52,2018-08-14 05:41:52,1,original,0,22659137
2,,-60,Lost in Space (2018),343253,2018-08-11 03:40:49,2018-08-11 03:40:49,1,original,0,22659137
2,,-60,Impulse,344995,2018-09-01 10:31:36,2018-09-01 10:31:36,1,original,0,22659137
2,,-60,The Haunting,345246,2020-12-31 09:01:51,2020-12-31 09:01:51,1,original,0,22659137
2,,-60,Elite,346328,2019-03-26 20:12:25,2022-08-21 12:08:16,1,original,1,22659137
2,,-60,Nightflyers,347648,2019-03-09 09:50:22,2019-03-09 09:50:22,1,original,0,22659137
2,,-60,Paradise PD,348922,2019-01-15 12:13:12,2019-01-15 12:13:12,1,original,0,22659137
2,,-60,Bodyguard (2018),349310,2019-08-01 11:53:53,2019-08-01 11:53:53,1,original,0,22659137
2,,-60,The Umbrella Academy,353764,2019-03-22 20:40:10,2019-03-22 20:40:10,1,original,0,22659137
2,,-60,The Boys,355567,2019-09-04 17:39:03,2019-09-04 17:39:03,1,original,0,22659137
2,,-60,Doom Patrol,355622,2023-03-09 22:55:34,2023-03-09 22:55:34,1,original,0,22659137
2,,-60,Sex Education,356317,2019-02-16 13:14:51,2019-02-16 13:14:51,1,original,0,22659137
2,,-60,"Love, Death & Robots",357888,2022-08-07 17:29:02,2022-08-07 17:29:02,1,original,0,22659137
2,,-60,Warrior,359326,2019-08-01 11:53:02,2019-08-01 11:53:02,1,original,0,22659137
2,,-60,Formula 1: Drive to Survive,359913,2020-12-31 08:39:38,2020-12-31 08:39:38,1,original,0,22659137
2,,-60,Chernobyl,360893,2019-06-09 01:06:29,2019-06-09 01:06:29,1,original,0,22659137
2,,-60,How to Sell Drugs Online (Fast),361034,2020-12-31 09:02:24,2020-12-31 09:02:30,0,original,0,22659137
2,,-60,The Society,361558,2019-06-09 01:08:32,2019-06-09 01:08:32,1,original,0,22659137
2,,-60,Locke & Key,361594,2022-08-21 12:14:45,2022-08-21 12:14:45,1,original,0,22659137
2,,-60,The Mandalorian,361753,2020-12-19 23:23:17,2020-12-19 23:23:17,1,original,0,22659137
2,,-60,Loki,362472,2023-10-14 19:38:33,2023-10-14 19:38:33,1,original,0,22659137
2,,-60,The Witcher,362696,2022-03-25 07:32:46,2022-03-25 07:32:46,1,original,0,22659137
2,,-60,Extracurricular,362999,2022-03-25 07:33:18,2022-03-25 07:33:18,1,original,0,22659137
2,,-60,Let's Go Quintuplets,363015,2020-12-31 08:59:21,2022-08-21 12:08:01,0,original,0,22659137
2,,-60,Snowpiercer,364928,2020-12-31 08:58:56,2020-12-31 08:59:05,1,original,0,22659137
2,,-60,The Sandman,366211,2022-08-21 12:11:35,2022-08-21 12:11:35,1,original,0,22659137
2,,-60,Reacher,366924,2022-11-19 14:37:16,2022-11-19 14:37:16,1,original,0,22659137
2,,-60,The I-Land,368387,2019-10-24 12:33:14,2020-12-19 23:21:03,0,original,0,22659137
2,,-60,Living with Yourself,368523,2023-06-30 23:00:42,2023-06-30 23:00:42,1,original,0,22659137
2,,-60,Mare of Easttown,370112,2023-01-24 21:42:29,2023-01-24 21:42:29,1,original,0,22659137
2,,-60,Alex Rider,370312,2023-03-12 22:54:50,2023-03-12 22:54:50,1,original,0,22659137
2,,-60,House of the Dragon,371572,2023-01-03 23:00:30,2023-01-03 23:00:30,1,original,0,22659137
2,,-60,Severance,371980,2022-12-15 19:45:19,2022-12-15 19:45:19,1,original,0,22659137
2,,-60,Lupin,375921,2021-03-09 11:11:43,2021-03-09 11:11:43,1,original,0,22659137
2,,-60,Unorthodox,376122,2020-12-31 09:02:44,2020-12-31 09:02:44,1,original,0,22659137
2,,-60,Alice in Borderland (2020),376472,2021-11-09 21:47:41,2021-11-09 21:47:41,1,original,0,22659137
2,,-60,Outer Banks,379169,2020-12-31 08:58:30,2023-03-10 17:03:22,0,original,0,22659137
2,,-60,Behind Her Eyes,380991,2021-03-09 11:01:43,2022-08-21 12:02:58,1,original,1,22659137
2,,-60,Squid Game,383275,2021-10-03 01:27:51,2021-10-03 01:28:13,1,original,0,22659137
2,,-60,The Queen's Gambit,387115,2020-12-31 08:39:23,2020-12-31 08:39:23,1,original,0,22659137
2,,-60,Monster (2022),389492,2022-10-08 12:51:11,2023-10-06 12:20:30,1,original,1,22659137
2,,-60,The Last of Us,392256,2023-02-21 23:51:02,2023-02-21 23:51:02,1,original,0,22659137
2,,-60,ONE PIECE (2023),392276,2023-09-07 11:09:39,2023-09-07 11:09:39,1,original,0,22659137
2,,-60,Citadel,393268,2023-05-10 19:18:00,2023-05-10 19:18:00,1,original,0,22659137
2,,-60,Dealer,396319,2021-03-13 23:25:10,2021-03-13 23:25:10,1,original,0,22659137
2,,-60,Wednesday,397060,2022-12-27 20:08:56,2022-12-27 20:08:56,1,original,0,22659137
2,,-60,The Terminal List,399917,2023-03-04 08:38:54,2023-03-04 08:38:54,1,original,0,22659137
2,,-60,A Spy Among Friends,402296,2023-01-17 08:32:02,2023-01-17 08:32:02,1,original,0,22659137
2,,-60,Bloodhounds (2023),404093,2023-06-28 20:33:44,2023-06-28 20:33:44,1,original,0,22659137
2,,-60,Black Knight,405921,2023-06-02 17:44:12,2023-06-02 17:44:12,1,original,0,22659137
2,,-60,The Night Agent,407281,2023-03-26 12:34:10,2023-03-26 12:34:10,1,original,0,22659137
2,,-60,Florida Man,408709,2023-04-16 12:42:57,2023-04-16 12:42:57,1,original,0,22659137
2,,-60,Kaleidoscope (2023),410092,2023-03-20 21:26:25,2023-03-20 21:26:25,1,original,0,22659137
2,,-60,The Marked Heart,418089,2023-04-22 12:18:55,2023-05-26 20:03:32,1,original,1,22659137
2,,-60,Who is Erin Carter?,422814,2023-09-04 12:30:45,2023-10-06 12:20:15,1,original,1,22659137
2,,-60,Physical: 100,424941,2023-02-11 11:30:47,2023-02-11 11:30:47,1,original,0,22659137
2,,-60,FUBAR,427281,2023-06-12 21:58:05,2023-06-12 21:58:05,1,original,0,22659137
2,,-60,Who Were We Running From?,430458,2023-04-07 18:44:40,2023-04-07 18:44:40,1,original,0,22659137
2,,-60,Arnold,434748,2023-07-12 23:01:14,2023-07-12 23:01:14,1,original,0,22659137
