episode_id,created_at,updated_at,fb_action_id,user_id,tv_show_name,episode_season_number,episode_number,tweet_id
55452,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,1,1,
55453,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,1,2,
55454,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,1,3,
55455,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,1,4,
55456,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,1,5,
55457,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,1,6,
55458,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,1,7,
55459,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,1,8,
55460,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,1,9,
55461,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,1,10,
55462,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,1,11,
55463,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,1,12,
55464,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,1,13,
55465,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,1,
55466,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,2,
55467,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,3,
55468,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,4,
55469,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,5,
55470,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,6,
55471,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,7,
55472,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,8,
55473,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,9,
55474,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,10,
55475,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,11,
55476,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,12,
55477,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,13,
55478,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,14,
55479,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,15,
55480,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,16,
55481,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,17,
55482,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,18,
55483,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,19,
55484,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,20,
55485,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,21,
55486,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,2,22,
55487,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,1,
55488,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,2,
55489,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,3,
55490,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,4,
55491,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,5,
55492,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,6,
55493,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,7,
55494,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,8,
55495,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,9,
55496,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,10,
55497,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,11,
55498,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,12,
55499,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,13,
55500,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,14,
55501,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,15,
55502,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,16,
55503,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,17,
55504,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,18,
55505,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,19,
55506,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,20,
55507,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,21,
55508,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,22,
55509,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,23,
55510,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,3,24,
55511,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,1,
55512,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,2,
55513,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,3,
55514,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,4,
55515,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,5,
55516,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,6,
55517,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,7,
55518,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,8,
55519,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,9,
55520,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,10,
55521,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,11,
55522,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,12,
55523,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,13,
55524,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,14,
55525,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,15,
55526,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,16,
55527,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,17,
55528,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,18,
55529,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,19,
55530,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,20,
55531,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,21,
55532,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,4,22,
55533,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,5,1,
55534,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,5,2,
55535,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,5,3,
55536,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,5,4,
55537,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,5,5,
55538,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,5,6,
55539,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,5,7,
55540,2018-08-11 03:39:56,2018-08-11 03:39:56,,22659137,The Simpsons,5,8,
