episode_id,created_at,fb_action_id,user_id,tv_show_name,episode_season_number,episode_number,rewatched_count
55544,2018-08-11 03:39:56,,22659137,The Simpsons,5,12,0
55545,2018-08-11 03:39:56,,22659137,The Simpsons,5,13,0
55546,2018-08-11 03:39:56,,22659137,The Simpsons,5,14,0
55547,2018-08-11 03:39:56,,22659137,The Simpsons,5,15,0
55548,2018-08-11 03:39:56,,22659137,The Simpsons,5,16,0
55549,2018-08-11 03:39:56,,22659137,The Simpsons,5,17,0
55550,2018-08-11 03:39:56,,22659137,The Simpsons,5,18,0
55551,2018-08-11 03:39:56,,22659137,The Simpsons,5,19,0
55552,2018-08-11 03:39:56,,22659137,The Simpsons,5,20,0
55553,2018-08-11 03:39:56,,22659137,The Simpsons,5,21,0
55554,2018-08-11 03:39:56,,22659137,The Simpsons,5,22,0
55555,2018-08-11 03:39:56,,22659137,The Simpsons,6,1,0
55556,2018-08-11 03:39:56,,22659137,The Simpsons,6,2,0
55557,2018-08-11 03:39:56,,22659137,The Simpsons,6,3,0
55558,2018-08-11 03:39:56,,22659137,The Simpsons,6,4,0
55559,2018-08-11 03:39:56,,22659137,The Simpsons,6,5,0
55560,2018-08-11 03:39:56,,22659137,The Simpsons,6,6,0
55561,2018-08-11 03:39:56,,22659137,The Simpsons,6,7,0
55562,2018-08-11 03:39:56,,22659137,The Simpsons,6,8,0
55563,2018-08-11 03:39:56,,22659137,The Simpsons,6,9,0
55564,2018-08-11 03:39:56,,22659137,The Simpsons,6,10,0
55565,2018-08-11 03:39:56,,22659137,The Simpsons,6,11,0
55566,2018-08-11 03:39:56,,22659137,The Simpsons,6,12,0
55567,2018-08-11 03:39:56,,22659137,The Simpsons,6,13,0
55568,2018-08-11 03:39:56,,22659137,The Simpsons,6,14,0
55569,2018-08-11 03:39:56,,22659137,The Simpsons,6,15,0
55570,2018-08-11 03:39:56,,22659137,The Simpsons,6,16,0
55571,2018-08-11 03:39:56,,22659137,The Simpsons,6,17,0
55572,2018-08-11 03:39:56,,22659137,The Simpsons,6,18,0
55573,2018-08-11 03:39:56,,22659137,The Simpsons,6,19,0
55574,2018-08-11 03:39:56,,22659137,The Simpsons,6,20,0
55575,2018-08-11 03:39:56,,22659137,The Simpsons,6,21,0
55576,2018-08-11 03:39:56,,22659137,The Simpsons,6,22,0
55577,2018-08-11 03:39:56,,22659137,The Simpsons,6,23,0
55578,2018-08-11 03:39:56,,22659137,The Simpsons,6,24,0
55579,2018-08-11 03:39:56,,22659137,The Simpsons,6,25,0
55581,2018-08-11 03:39:56,,22659137,The Simpsons,7,1,0
55582,2018-08-11 03:39:56,,22659137,The Simpsons,7,2,0
55583,2018-08-11 03:39:56,,22659137,The Simpsons,7,3,0
55584,2018-08-11 03:39:56,,22659137,The Simpsons,7,4,0
55585,2018-08-11 03:39:56,,22659137,The Simpsons,7,5,0
55586,2018-08-11 03:39:56,,22659137,The Simpsons,7,6,0
55587,2018-08-11 03:39:56,,22659137,The Simpsons,7,7,0
55588,2018-08-11 03:39:56,,22659137,The Simpsons,7,8,0
55589,2018-08-11 03:39:56,,22659137,The Simpsons,7,9,0
55590,2018-08-11 03:39:56,,22659137,The Simpsons,7,10,0
55591,2018-08-11 03:39:56,,22659137,The Simpsons,7,11,0
55592,2018-08-11 03:39:56,,22659137,The Simpsons,7,12,0
55593,2018-08-11 03:39:56,,22659137,The Simpsons,7,13,0
55594,2018-08-11 03:39:56,,22659137,The Simpsons,7,14,0
55595,2018-08-11 03:39:56,,22659137,The Simpsons,7,15,0
55596,2018-08-11 03:39:56,,22659137,The Simpsons,7,16,0
55597,2018-08-11 03:39:56,,22659137,The Simpsons,7,17,0
55598,2018-08-11 03:39:56,,22659137,The Simpsons,7,18,0
55599,2018-08-11 03:39:56,,22659137,The Simpsons,7,19,0
55600,2018-08-11 03:39:56,,22659137,The Simpsons,7,20,0
55601,2018-08-11 03:39:56,,22659137,The Simpsons,7,21,0
55602,2018-08-11 03:39:56,,22659137,The Simpsons,7,22,0
55603,2018-08-11 03:39:56,,22659137,The Simpsons,7,23,0
55604,2018-08-11 03:39:56,,22659137,The Simpsons,7,24,0
55605,2018-08-11 03:39:56,,22659137,The Simpsons,7,25,0
55606,2018-08-11 03:39:56,,22659137,The Simpsons,8,1,0
55607,2018-08-11 03:39:56,,22659137,The Simpsons,8,2,0
55608,2018-08-11 03:39:56,,22659137,The Simpsons,8,3,0
55609,2018-08-11 03:39:56,,22659137,The Simpsons,8,4,0
55610,2018-08-11 03:39:56,,22659137,The Simpsons,8,5,0
55611,2018-08-11 03:39:56,,22659137,The Simpsons,8,6,0
55612,2018-08-11 03:39:56,,22659137,The Simpsons,8,7,0
55613,2018-08-11 03:39:56,,22659137,The Simpsons,8,8,0
55614,2018-08-11 03:39:56,,22659137,The Simpsons,8,9,0
55615,2018-08-11 03:39:56,,22659137,The Simpsons,8,10,0
55616,2018-08-11 03:39:56,,22659137,The Simpsons,8,11,0
55617,2018-08-11 03:39:56,,22659137,The Simpsons,8,12,0
55618,2018-08-11 03:39:56,,22659137,The Simpsons,8,13,0
55619,2018-08-11 03:39:56,,22659137,The Simpsons,8,14,0
55620,2018-08-11 03:39:56,,22659137,The Simpsons,8,15,0
55621,2018-08-11 03:39:56,,22659137,The Simpsons,8,16,0
55622,2018-08-11 03:39:56,,22659137,The Simpsons,8,17,0
55623,2018-08-11 03:39:56,,22659137,The Simpsons,8,18,0
55624,2018-08-11 03:39:56,,22659137,The Simpsons,8,19,0
