tv_show_name,tv_show_id,created_at,active,archived,user_id
Monster (2022),389492,2022-10-08 12:51:11,1,1,22659137
The Last of Us,392256,2023-02-21 23:51:02,1,0,22659137
ONE PIECE (2023),392276,2023-09-07 11:09:39,1,0,22659137
Citadel,393268,2023-05-10 19:18:00,1,0,22659137
Dealer,396319,2021-03-13 23:25:10,1,0,22659137
Wednesday,397060,2022-12-27 20:08:56,1,0,22659137
The Terminal List,399917,2023-03-04 08:38:54,1,0,22659137
A Spy Among Friends,402296,2023-01-17 08:32:02,1,0,22659137
Bloodhounds (2023),404093,2023-06-28 20:33:44,1,0,22659137
Black Knight,405921,2023-06-02 17:44:12,1,0,22659137
The Night Agent,407281,2023-03-26 12:34:10,1,0,22659137
Florida Man,408709,2023-04-16 12:42:57,1,0,22659137
Kaleidoscope (2023),410092,2023-03-20 21:26:25,1,0,22659137
The Marked Heart,418089,2023-04-22 12:18:55,1,1,22659137
Who is Erin Carter?,422814,2023-09-04 12:30:45,1,1,22659137
Physical: 100,424941,2023-02-11 11:30:47,1,0,22659137
FUBAR,427281,2023-06-12 21:58:05,1,0,22659137
Who Were We Running From?,430458,2023-04-07 18:44:40,1,0,22659137
Arnold,434748,2023-07-12 23:01:14,1,0,22659137
