episode_id,vote_key,user_id,created_at,note
9300505,9300505-22659137-3,22659137,2022-09-06 20:42:29,5
8791888,8791888-22659137-3,22659137,2022-10-31 13:33:25,5
8287133,8287133-22659137-29,22659137,2023-01-03 23:00:35,4
8868130,8868130-22659137-3,22659137,2022-11-24 23:27:49,5
7620099,7620099-22659137-3,22659137,2022-10-24 08:25:16,5
8514939,8514939-22659137-28,22659137,2021-11-09 21:45:51,3
9505045,9505045-22659137-3,22659137,2023-03-20 21:26:49,5
9759689,9759689-22659137-29,22659137,2023-09-08 09:09:05,4
9303188,9303188-22659137-3,22659137,2023-11-19 10:51:44,5
4919988,4919988-22659137-3,22659137,2022-10-25 20:22:38,5
7687400,7687400-22659137-3,22659137,2023-10-28 23:08:24,5
9288822,9288822-22659137-27,22659137,2022-08-22 22:21:13,2
8571459,8571459-22659137-29,22659137,2023-03-26 12:34:15,4
7330252,7330252-22659137-3,22659137,2023-07-11 20:45:48,5
9238601,9238601-22659137-3,22659137,2023-01-21 12:29:33,5
6778614,6778614-22659137-29,22659137,2022-10-16 22:46:15,4
5765514,5765514-22659137-3,22659137,2022-12-03 22:43:47,5
8514943,8514943-22659137-27,22659137,2021-11-09 21:45:58,2
6778614,6778614-22659137-28,22659137,2022-10-16 22:46:14,3
9986637,9986637-22659137-29,22659137,2023-12-17 13:57:57,4
9797410,9797410-22659137-3,22659137,2023-06-21 20:49:37,5
9300505,9300505-22659137-29,22659137,2022-09-06 20:42:31,4
9607719,9607719-22659137-3,22659137,2023-03-29 21:27:12,5
9797408,9797408-22659137-3,22659137,2023-06-16 13:46:30,5
6677615,6677615-22659137-3,22659137,2022-12-05 22:40:43,5
8514942,8514942-22659137-28,22659137,2021-11-09 21:46:02,3
9010227,9010227-22659137-3,22659137,2023-03-10 23:34:52,5
9300510,9300510-22659137-29,22659137,2022-09-10 10:35:45,4
6778622,6778622-22659137-3,22659137,2022-10-18 21:21:44,5
9435211,9435211-22659137-29,22659137,2023-02-23 22:28:14,4
9607716,9607716-22659137-3,22659137,2023-03-27 21:45:33,5
9986639,9986639-22659137-3,22659137,2023-12-17 13:57:46,5
8320011,8320011-22659137-3,22659137,2023-11-04 23:12:15,5
9082153,9082153-22659137-3,22659137,2023-01-08 21:57:48,5
8481420,8481420-22659137-28,22659137,2021-11-09 21:45:11,3
9476217,9476217-22659137-29,22659137,2023-02-08 22:37:04,4
5101005,5101005-22659137-29,22659137,2022-10-30 22:49:28,4
7620105,7620105-22659137-3,22659137,2022-10-30 09:47:11,5
9782581,9782581-22659137-3,22659137,2023-07-12 23:01:27,5
9160488,9160488-22659137-3,22659137,2022-12-21 23:02:56,5
9986630,9986630-22659137-3,22659137,2023-11-28 14:11:34,5
9882279,9882279-22659137-3,22659137,2023-11-28 15:17:35,5
7537283,7537283-22659137-3,22659137,2022-12-15 14:49:53,5
9505046,9505046-22659137-3,22659137,2023-03-21 23:04:30,5
4919989,4919989-22659137-3,22659137,2022-10-27 19:31:24,5
9079008,9079008-22659137-28,22659137,2023-05-03 22:16:12,3
9010229,9010229-22659137-3,22659137,2023-03-12 22:42:26,5
6576179,6576179-22659137-3,22659137,2022-12-28 23:52:05,5
9303194,9303194-22659137-3,22659137,2023-11-15 14:07:39,5
9138256,9138256-22659137-3,22659137,2022-11-15 20:42:55,5
9706786,9706786-22659137-3,22659137,2023-04-19 18:32:17,5
9079002,9079002-22659137-3,22659137,2023-04-22 12:57:20,5
9797409,9797409-22659137-3,22659137,2023-06-19 13:21:50,5
9476216,9476216-22659137-28,22659137,2023-02-06 13:30:56,3
9765176,9765176-22659137-28,22659137,2023-08-11 11:33:59,3
9079005,9079005-22659137-28,22659137,2023-04-30 17:42:16,3
9986631,9986631-22659137-3,22659137,2023-12-03 14:05:28,5
8514937,8514937-22659137-27,22659137,2021-11-09 21:45:41,2
9564628,9564628-22659137-3,22659137,2023-07-05 12:35:17,5
9160488,9160488-22659137-29,22659137,2022-12-21 23:02:55,4
10002428,10002428-22659137-3,22659137,2023-09-09 20:46:34,5
9931638,9931638-22659137-3,22659137,2023-09-30 13:38:49,5
9577094,9577094-22659137-3,22659137,2023-02-17 23:29:58,5
9300512,9300512-22659137-3,22659137,2022-09-10 10:29:59,5
9279985,9279985-22659137-29,22659137,2023-09-04 12:31:07,4
6576170,6576170-22659137-3,22659137,2022-12-27 13:51:08,5
